datamodelKey,s3.folderName,s3.apiPath,s3.collectionName,s3.infoName,s4.apiPath,s4.collectionName,s4.info.singularName,s4.info.pluralName,s4.info.displayName
POFFiSupporter,supporters-page,/supporters-pages,supporters_pages,POFFi_Supporter,/api/supporters-pages,supporters_pages,supporters-page,supporters-pages,POFFiSupporter
PatternCollection,pattern-collections,/pattern-collections,pattern_collections,Pattern_Collections,/api/pattern-collectionses,pattern_collections,pattern-collections,pattern-collectionses,PatternCollection
Person,person,/people,people,Person,/api/persons,people,person,persons,Person
PitchOfVoice,pitch-of-voice,/pitch-of-voices,pitch_of_voices,PitchOfVoice,/api/pitch-of-voices,pitch_of_voices,pitch-of-voice,pitch-of-voices,PitchOfVoice
Product,product,/products,products,Product,/api/products,products,product,products,Product
ProductType,product-type,/product-types,product_types,ProductType,/api/product-types,product_types,product-type,product-types,ProductType
Product_Category,product-category,/product-categories,product_categories,Product_Category,/api/product-categories,product_categories,product-category,product-categories,Product_Category
Programme,programme,/programmes,programmes,Programme,/api/programmes,programmes,programme,programmes,Programme
ProjectStatus,project-status,/project-statuses,project_statuses,Project_Status,/api/project-statuses,project_statuses,project-status,project-statuses,ProjectStatus
ProjectType,project-type,/project-types,project_types,Project_Type,/api/project-types,project_types,project-type,project-types,ProjectType
RoleAtFilm,role-at-film,/role-at-films,role_at_films,RoleAtFilm,/api/role-at-films,role_at_films,role-at-film,role-at-films,RoleAtFilm
Screening,screening,/screenings,screenings,Screening,/api/screenings,screenings,screening,screenings,Screening
ScreeningType,screening-type,/screening-types,screening_types,ScreeningType,/api/screening-types,screening_types,screening-type,screening-types,ScreeningType
ShoeSize,shoe-size,/shoe-sizes,shoe_sizes,Shoe_Size,/api/shoe-sizes,shoe_sizes,shoe-size,shoe-sizes,ShoeSize
Shop,shop,/shops,shops,Shop,/api/shops,shops,shop,shops,Shop
ShortsSupporter,supporters-shorts,/supporters-shorts,supporters_shorts,Shorts_Supporter,/api/supporters-shortses,supporters_shorts,supporters-shorts,supporters-shortses,ShortsSupporter
ShortsiArticle,shortsi-article,/shortsi-articles,shortsi_articles,Shortsi_Article,/api/shortsi-articles,shortsi_articles,shortsi-article,shortsi-articles,ShortsiArticle
ShortsiFooter,shortsi-footer,/shortsi-footers,shortsi_footers,Shortsi_Footer,/api/shortsi-footers,shortsi_footers,shortsi-footer,shortsi-footers,ShortsiFooter
ShortsiMenu,shortsi-menu,/shortsi-menus,shortsi_menus,Shortsi_Menu,/api/shortsi-menus,shortsi_menus,shortsi-menu,shortsi-menus,ShortsiMenu
SixFilms,six-films,/six-films,six_films,SixFilms,/api/six-filmses,six_films,six-films,six-filmses,SixFilms
SmartFolder,smart-folder,/smart-folders,smart_folders,SmartFolder,/api/smart-folders,smart_folders,smart-folder,smart-folders,SmartFolder
Stature,stature,/statures,statures,Stature,/api/statures,statures,stature,statures,Stature
TagAgeRestriction,age-restriction,/age-restrictions,age_restrictions,TagAgeRestriction,/api/age-restrictions,age_restrictions,age-restriction,age-restrictions,TagAgeRestriction
TagCategory,tag-category,/tag-categories,tag_categories,TagCategory,/api/tag-categories,tag_categories,tag-category,tag-categories,TagCategory
TagFilmType,tag-film-type,/tag-film-types,tag_film_types,TagFilmType,/api/tag-film-types,tag_film_types,tag-film-type,tag-film-types,TagFilmType
TagGenre,tag-genre,/tag-genres,tag_genres,TagGenre,/api/tag-genres,tag_genres,tag-genre,tag-genres,TagGenre
TagKeyword,tag-keyword,/tag-keywords,tag_keywords,TagKeyword,/api/tag-keywords,tag_keywords,tag-keyword,tag-keywords,TagKeyword
TagLocation,tag-location,/tag-locations,tag_locations,TagLocation,/api/tag-locations,tag_locations,tag-location,tag-locations,TagLocation
TagLookingFor,tag-looking-for,/tag-looking-fors,tag_looking_fors,TagLookingFor,/api/tag-looking-fors,tag_looking_fors,tag-looking-for,tag-looking-fors,TagLookingFor
TagPremiereType,tag-premiere-type,/tag-premiere-types,tag_premiere_types,TagPremiereType,/api/tag-premiere-types,tag_premiere_types,tag-premiere-type,tag-premiere-types,TagPremiereType
TagSecret,tag-secret,/tag-secrets,tag_secrets,TagSecret,/api/tag-secrets,tag_secrets,tag-secret,tag-secrets,TagSecret
TagTriggerWarning,trigger-warning,/trigger-warnings,trigger_warnings,TagTriggerWarning,/api/trigger-warnings,trigger_warnings,trigger-warning,trigger-warnings,TagTriggerWarning
TartuffiArticle,tartuffi-article,/tartuffi-articles,tartuffi_articles,Tartuffi_Article,/api/tartuffi-articles,tartuffi_articles,tartuffi-article,tartuffi-articles,TartuffiArticle
TartuffiFooter,tartuffi-footer,/tartuffi-footers,tartuffi_footers,Tartuffi_Footer,/api/tartuffi-footers,tartuffi_footers,tartuffi-footer,tartuffi-footers,TartuffiFooter
TartuffiMenu,tartuffi-menu,/tartuffi-menus,tartuffi_menus,Tartuffi_Menu,/api/tartuffi-menus,tartuffi_menus,tartuffi-menu,tartuffi-menus,TartuffiMenu
TartuffiSupporter,tartuffi-supporter,/tartuffi-supporters,tartuffi_supporters,Tartuffi_Supporter,/api/tartuffi-supporters,tartuffi_supporters,tartuffi-supporter,tartuffi-supporters,TartuffiSupporter
Team,team,/teams,teams,Team,/api/teams,teams,team,teams,Team
TimeUnits,time-units,/time-units,time_units,TimeUnits,/api/time-unitses,time_units,time-units,time-unitses,TimeUnits
Town,town,/towns,towns,Town,/api/towns,towns,town,towns,Town
Transaction,transaction,/transactions,transactions,transaction,/api/transactions,transactions,transaction,transactions,Transaction
TransactionProduct,transactions-products,/transactions-products,transactions_products,TransactionsProducts,/api/transactions-productses,transactions_products,transactions-products,transactions-productses,TransactionProduct
TrioBruno,trio-bruno,/trio-bruno,trio_bruno,TrioBruno,/api/trio-brunos,trio_bruno,trio-bruno,trio-brunos,TrioBruno
TrioDisCamp,trio-dis-camp,/trio-dis-camp,trio_dis_camps,TrioDisCamp,/api/trio-dis-camps,trio_dis_camps,trio-dis-camp,trio-dis-camps,TrioDisCamp
TrioFilmikool,trio-filmikool,/trio-filmikool,trio_filmikools,TrioFilmikool,/api/trio-filmikools,trio_filmikools,trio-filmikool,trio-filmikools,TrioFilmikool
TrioHOFF,trio-hoff,/trio-hoff,trio_hoffs,TrioHOFF,/api/trio-hoffs,trio_hoffs,trio-hoff,trio-hoffs,TrioHOFF
TrioIndustry,trio-industry,/trio-industry,trio_industries,TrioIndustry,/api/trio-industries,trio_industries,trio-industry,trio-industries,TrioIndustry
TrioJustFilm,trio-just-film,/trio-just-film,trio_just_films,TrioJustFilm,/api/trio-just-films,trio_just_films,trio-just-film,trio-just-films,TrioJustFilm
TrioKinoff,trio-kinoff,/trio-kinoff,trio_kinoffs,TrioKinoff,/api/trio-kinoffs,trio_kinoffs,trio-kinoff,trio-kinoffs,TrioKinoff
TrioKumu,trio-kumu,/trio-kumu,trio_kumu,TrioKumu,/api/trio-kumus,trio_kumu,trio-kumu,trio-kumus,TrioKumu
TrioPOFF,trio-p-oe-ff,/trio-p-oe-ff,trio_p_oe_ffs,TrioPOFF,/api/trio-p-oe-ffs,trio_p_oe_ffs,trio-p-oe-ff,trio-p-oe-ffs,TrioPOFF
TrioShorts,trio-shorts,/trio-shorts,trio_shorts,TrioShorts,/api/trio-shortses,trio_shorts,trio-shorts,trio-shortses,TrioShorts
TrioTartuff,trio-tartuff,/trio-tartuff,trio_tartuffs,TrioTartuff,/api/trio-tartuffs,trio_tartuffs,trio-tartuff,trio-tartuffs,TrioTartuff
TypeOfWork,type-of-work,/type-of-works,type_of_works,TypeOfWork,/api/type-of-works,type_of_works,type-of-work,type-of-works,TypeOfWork
UserProfile,user-profiles,/user-profiles,user_profiles,UserProfiles,/api/user-profileses,user_profiles,user-profiles,user-profileses,UserProfile
UserRole,user-role,/user-roles,user_roles,UserRole,/api/user-roles,user_roles,user-role,user-roles,UserRole
WebAuthor,web-author,/web-authors,web_authors,WebAuthor,/api/web-authors,web_authors,web-author,web-authors,WebAuthor
WebPermission,web-permission,/web-permissions,web_permissions,webPermission,/api/web-permissions,web_permissions,web-permission,web-permissions,WebPermission
WebRole,web-role,/web-roles,web_roles,webRole,/api/web-roles,web_roles,web-role,web-roles,WebRole
WebUser,web-user,/web-users,web_users,webUser,/api/web-users,web_users,web-user,web-users,WebUser
